task1,task2,localizer1,localizer2,froi1,froi2,overlap,subject
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,3,6,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,3,7,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,3,8,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,3,9,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,3,10,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,3,11,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,4,1,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,4,2,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,4,3,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,4,4,0.168,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,4,5,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,4,6,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,4,7,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,4,8,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,4,9,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,4,10,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,4,11,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,5,1,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,5,2,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,5,3,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,5,4,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,5,5,0.2457627118644068,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,5,6,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,5,7,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,5,8,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,5,9,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,5,10,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,5,11,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,6,1,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,6,2,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,6,3,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,6,4,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,6,5,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,6,6,0.21428571428571427,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,6,7,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,6,8,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,6,9,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,6,10,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,6,11,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,7,1,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,7,2,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,7,3,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,7,4,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,7,5,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,7,6,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,7,7,0.021739130434782608,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,7,8,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,7,9,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,7,10,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,7,11,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,8,1,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,8,2,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,8,3,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,8,4,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,8,5,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,8,6,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,8,7,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,8,8,0.018691588785046728,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,8,9,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,8,10,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,8,11,0.0,040
EventsOrig,EventsOrig,Sem_photominusPerc_photo,Sem_photominusPerc_photo,9,1,0.0,040
