subject,froi_size,froi,task,contrast,effect_size
070,46.0,5,EventsOrig,Perc_photo,0.08523573726415634
070,37.0,6,EventsOrig,Perc_photo,-0.2726846186293138
070,294.0,1,EventsOrig,Sem_sent,1.973722518939639
070,162.0,2,EventsOrig,Sem_sent,0.3032211521525442
070,64.0,3,EventsOrig,Sem_sent,0.5499993410194293
070,74.0,4,EventsOrig,Sem_sent,2.1156140590036236
070,46.0,5,EventsOrig,Sem_sent,3.1830030031826184
070,37.0,6,EventsOrig,Sem_sent,1.9217174117629592
070,294.0,1,EventsOrig,Perc_sent,-0.07210029678127798
070,162.0,2,EventsOrig,Perc_sent,-0.4721788040327805
070,64.0,3,EventsOrig,Perc_sent,-0.16467259533237666
070,74.0,4,EventsOrig,Perc_sent,-0.25090650053745184
070,46.0,5,EventsOrig,Perc_sent,0.3850558694937955
070,37.0,6,EventsOrig,Perc_sent,-0.25915741417053584
087,294.0,1,SWNloc,S,1.1694455514073292
087,162.0,2,SWNloc,S,0.9490903759894532
087,64.0,3,SWNloc,S,0.2569023376063342
087,74.0,4,SWNloc,S,1.4942177543605402
087,46.0,5,SWNloc,S,1.1865218093861705
087,37.0,6,SWNloc,S,1.96011028509285
087,294.0,1,SWNloc,W,0.8381641134188105
087,162.0,2,SWNloc,W,0.6029063431822039
087,64.0,3,SWNloc,W,-0.11868860290815064
087,74.0,4,SWNloc,W,1.104451797927755
087,46.0,5,SWNloc,W,0.9233911458564841
087,37.0,6,SWNloc,W,1.341411358601338
087,294.0,1,SWNloc,N,0.39243252463773415
087,162.0,2,SWNloc,N,0.14654253415884105
087,64.0,3,SWNloc,N,-0.5857202994617788
087,74.0,4,SWNloc,N,0.5101078005637638
087,46.0,5,SWNloc,N,0.5809582455583133
087,37.0,6,SWNloc,N,0.4646339708255386
087,294.0,1,EventsOrig,Sem_photo,0.39815832762250386
087,162.0,2,EventsOrig,Sem_photo,0.34283007136373606
087,64.0,3,EventsOrig,Sem_photo,0.5342968544573523
087,74.0,4,EventsOrig,Sem_photo,0.07637483822936947
087,46.0,5,EventsOrig,Sem_photo,0.5598793212810288
087,37.0,6,EventsOrig,Sem_photo,-0.32896550926002294
087,294.0,1,EventsOrig,Perc_photo,0.42906559936600885
087,162.0,2,EventsOrig,Perc_photo,0.3732824498258623
087,64.0,3,EventsOrig,Perc_photo,0.10900078224949539
087,74.0,4,EventsOrig,Perc_photo,0.19529070604491877
087,46.0,5,EventsOrig,Perc_photo,0.6391055162834085
087,37.0,6,EventsOrig,Perc_photo,-0.16200524075208483
087,294.0,1,EventsOrig,Sem_sent,1.4271502262424856
087,162.0,2,EventsOrig,Sem_sent,0.8618294133080376
087,64.0,3,EventsOrig,Sem_sent,0.8950809472007677
087,74.0,4,EventsOrig,Sem_sent,1.502983999212046
087,46.0,5,EventsOrig,Sem_sent,1.9763214439153671
087,37.0,6,EventsOrig,Sem_sent,0.45373338622015874
087,294.0,1,EventsOrig,Perc_sent,0.4735772550536865
087,162.0,2,EventsOrig,Perc_sent,-0.008924234060593594
087,64.0,3,EventsOrig,Perc_sent,-0.35033844865392894
087,74.0,4,EventsOrig,Perc_sent,0.22357886319829
087,46.0,5,EventsOrig,Perc_sent,0.5678758974308553
087,37.0,6,EventsOrig,Perc_sent,-0.1180916942051939
078,294.0,1,SWNloc,S,0.9933523425405799
078,162.0,2,SWNloc,S,0.900863982067317
078,64.0,3,SWNloc,S,0.5311295491143634
078,74.0,4,SWNloc,S,0.7316607403136823
078,46.0,5,SWNloc,S,1.143741818225902
078,37.0,6,SWNloc,S,0.7750120722134975
078,294.0,1,SWNloc,W,1.0500666252182969
078,162.0,2,SWNloc,W,0.7984670357387743
078,64.0,3,SWNloc,W,0.2773830610094592
078,74.0,4,SWNloc,W,0.6583525619243045
078,46.0,5,SWNloc,W,0.9822688808907634
078,37.0,6,SWNloc,W,0.8041651440230576
078,294.0,1,SWNloc,N,0.3496798275843344
078,162.0,2,SWNloc,N,-0.2700209283114123
078,64.0,3,SWNloc,N,-0.4470101034845963
078,74.0,4,SWNloc,N,0.17700655014581373
078,46.0,5,SWNloc,N,0.4773532743498251
078,37.0,6,SWNloc,N,0.2348025969212858
078,294.0,1,EventsOrig,Sem_photo,-0.5040511337780476
078,162.0,2,EventsOrig,Sem_photo,-0.43837911010156444
078,64.0,3,EventsOrig,Sem_photo,1.275697238277644
078,74.0,4,EventsOrig,Sem_photo,-0.15707697145439484
078,46.0,5,EventsOrig,Sem_photo,0.12766824084658013
078,37.0,6,EventsOrig,Sem_photo,-0.4551799941707302
