subject,froi,task1,task2,effect1,effect2,fisher_z
040,LAntTemp,EventsOrig,EventsOrig,Sem_sent,Perc_photo,0.5755581065079587
040,LPostTemp,EventsOrig,EventsOrig,Sem_sent,Perc_photo,1.0139135939832165
040,LAngG,EventsOrig,EventsOrig,Sem_sent,Perc_photo,-0.04834696382560161
040,LIFG_orb,EventsOrig,EventsOrig,Sem_sent,Sem_sent,0.6496703285379961
040,LIFG,EventsOrig,EventsOrig,Sem_sent,Sem_sent,0.954787832404048
040,LMFG,EventsOrig,EventsOrig,Sem_sent,Sem_sent,0.8352986978921199
040,LAntTemp,EventsOrig,EventsOrig,Sem_sent,Sem_sent,1.2198102688753536
040,LPostTemp,EventsOrig,EventsOrig,Sem_sent,Sem_sent,1.0651488862591325
040,LAngG,EventsOrig,EventsOrig,Sem_sent,Sem_sent,0.7174270737057631
040,LIFG_orb,EventsOrig,EventsOrig,Sem_sent,Perc_sent,0.2619087312383625
040,LIFG,EventsOrig,EventsOrig,Sem_sent,Perc_sent,0.31027400205491457
040,LMFG,EventsOrig,EventsOrig,Sem_sent,Perc_sent,0.3686203642354703
040,LAntTemp,EventsOrig,EventsOrig,Sem_sent,Perc_sent,0.30422451815989576
040,LPostTemp,EventsOrig,EventsOrig,Sem_sent,Perc_sent,0.9895639883830416
040,LAngG,EventsOrig,EventsOrig,Sem_sent,Perc_sent,0.05489276475300445
040,LIFG_orb,EventsOrig,SWNloc,Perc_sent,S,-0.15485650184295924
040,LIFG,EventsOrig,SWNloc,Perc_sent,S,0.3355734045352491
040,LMFG,EventsOrig,SWNloc,Perc_sent,S,-0.27525828030807326
040,LAntTemp,EventsOrig,SWNloc,Perc_sent,S,0.17879374569261874
040,LPostTemp,EventsOrig,SWNloc,Perc_sent,S,1.226116704964202
040,LAngG,EventsOrig,SWNloc,Perc_sent,S,-0.021646584005588946
040,LIFG_orb,EventsOrig,SWNloc,Perc_sent,W,-0.05316454952477909
040,LIFG,EventsOrig,SWNloc,Perc_sent,W,0.3221113209575904
040,LMFG,EventsOrig,SWNloc,Perc_sent,W,-0.19645935871917367
040,LAntTemp,EventsOrig,SWNloc,Perc_sent,W,0.22888468235712162
040,LPostTemp,EventsOrig,SWNloc,Perc_sent,W,1.2121344967039276
