froi,size,effect_run,froi_run,subject,effect
3,0.47645698752603494,1,orth1,068,S
3,1.6460548862814903,2,orth2,068,S
3,1.0335140763781965,3,orth3,068,S
4,0.755181343722585,1,orth1,068,S
4,0.4240887260718926,2,orth2,068,S
4,0.2500354915769217,3,orth3,068,S
5,1.7541965769360894,1,orth1,068,S
5,1.7402122852432986,2,orth2,068,S
5,1.0214780034578366,3,orth3,068,S
6,0.30210823397076614,1,orth1,068,S
6,-0.31480408067550714,2,orth2,068,S
6,-0.5222646079303043,3,orth3,068,S
1,1.190415956304871,1,orth1,068,W
1,0.8192028338881526,2,orth2,068,W
1,1.1369977387232186,3,orth3,068,W
2,-0.029129551123557498,1,orth1,068,W
2,0.03942636256163687,2,orth2,068,W
2,-0.1273993928126278,3,orth3,068,W
3,0.397815790202003,1,orth1,068,W
3,0.5841591311618686,2,orth2,068,W
3,0.44050256576156244,3,orth3,068,W
4,1.0892197282078702,1,orth1,068,W
4,0.09462632583076688,2,orth2,068,W
4,0.5864496834676813,3,orth3,068,W
5,1.671883885566469,1,orth1,068,W
5,1.5113466736334173,2,orth2,068,W
5,1.0677466026466826,3,orth3,068,W
6,1.5731974892519616,1,orth1,068,W
6,-0.4555647478602525,2,orth2,068,W
6,-0.15193267911672592,3,orth3,068,W
1,0.5660910829806662,1,orth1,068,N
1,0.571959212005018,2,orth2,068,N
1,0.5372447069587034,3,orth3,068,N
2,-0.594860789573027,1,orth1,068,N
2,-0.2709006748886572,2,orth2,068,N
2,-0.4539674059257923,3,orth3,068,N
3,-0.508625539339846,1,orth1,068,N
3,0.22531862290634308,2,orth2,068,N
3,-0.32932548456301447,3,orth3,068,N
4,0.39704694581293576,1,orth1,068,N
4,-0.14500541353245844,2,orth2,068,N
4,-0.08398679155239684,3,orth3,068,N
5,1.6781377960806307,1,orth1,068,N
5,1.55170910578707,2,orth2,068,N
5,0.7889224724216468,3,orth3,068,N
6,0.7315320977689447,1,orth1,068,N
6,-0.20929654440968423,2,orth2,068,N
6,-0.5573116496608064,3,orth3,068,N
1,1.4334795592086655,1,orth1,019,S
1,0.6018687343422077,2,orth2,019,S
1,0.22210218382862296,3,orth3,019,S
2,0.7237616958402753,1,orth1,019,S
