parcel1,froi2,overlap,run1,run2,subject
6,9,0.0,parcels,all,070
6,10,0.0,parcels,all,070
6,11,0.0,parcels,all,070
1,1,0.0,parcels,all,087
1,2,0.0,parcels,all,087
1,3,0.049723756906077346,parcels,all,087
1,4,0.776,parcels,all,087
1,5,0.0,parcels,all,087
1,6,0.0,parcels,all,087
1,7,0.0,parcels,all,087
1,8,0.0,parcels,all,087
1,9,0.0,parcels,all,087
1,10,0.0,parcels,all,087
1,11,0.0,parcels,all,087
2,1,0.0,parcels,all,087
2,2,0.0,parcels,all,087
2,3,0.0,parcels,all,087
2,4,0.0,parcels,all,087
2,5,0.0,parcels,all,087
2,6,0.0,parcels,all,087
2,7,0.0,parcels,all,087
2,8,0.0,parcels,all,087
2,9,0.0,parcels,all,087
2,10,0.0,parcels,all,087
2,11,0.0,parcels,all,087
3,1,0.0,parcels,all,087
3,2,0.0,parcels,all,087
3,3,0.7458563535911602,parcels,all,087
3,4,0.0,parcels,all,087
3,5,0.0,parcels,all,087
3,6,0.01020408163265306,parcels,all,087
3,7,0.0,parcels,all,087
3,8,0.0,parcels,all,087
3,9,0.0,parcels,all,087
3,10,0.0,parcels,all,087
3,11,0.0,parcels,all,087
4,1,0.47191011235955055,parcels,all,087
4,2,0.16379310344827586,parcels,all,087
4,3,0.0,parcels,all,087
4,4,0.0,parcels,all,087
4,5,0.0,parcels,all,087
4,6,0.0,parcels,all,087
4,7,0.0,parcels,all,087
4,8,0.0,parcels,all,087
4,9,0.0,parcels,all,087
4,10,0.0,parcels,all,087
4,11,0.0,parcels,all,087
5,1,0.0,parcels,all,087
5,2,0.0,parcels,all,087
5,3,0.0,parcels,all,087
5,4,0.0,parcels,all,087
5,5,0.0,parcels,all,087
5,6,0.0,parcels,all,087
5,7,0.0,parcels,all,087
5,8,0.0,parcels,all,087
5,9,0.0,parcels,all,087
5,10,0.0,parcels,all,087
5,11,0.0,parcels,all,087
6,1,0.0,parcels,all,087
6,2,0.0,parcels,all,087
6,3,0.0,parcels,all,087
6,4,0.0,parcels,all,087
6,5,0.0,parcels,all,087
6,6,0.0,parcels,all,087
6,7,0.0,parcels,all,087
6,8,0.0,parcels,all,087
6,9,0.0,parcels,all,087
6,10,0.0,parcels,all,087
6,11,0.0,parcels,all,087
1,1,0.0,parcels,all,078
1,2,0.0,parcels,all,078
1,3,0.14917127071823205,parcels,all,078
1,4,0.68,parcels,all,078
1,5,0.0,parcels,all,078
1,6,0.0,parcels,all,078
1,7,0.0,parcels,all,078
1,8,0.0,parcels,all,078
1,9,0.0,parcels,all,078
1,10,0.0,parcels,all,078
1,11,0.0,parcels,all,078
2,1,0.0,parcels,all,078
2,2,0.0,parcels,all,078
2,3,0.0,parcels,all,078
2,4,0.0,parcels,all,078
2,5,0.0,parcels,all,078
2,6,0.0,parcels,all,078
2,7,0.0,parcels,all,078
2,8,0.0,parcels,all,078
2,9,0.0,parcels,all,078
2,10,0.0,parcels,all,078
2,11,0.0,parcels,all,078
3,1,0.0,parcels,all,078
3,2,0.0,parcels,all,078
3,3,0.39779005524861877,parcels,all,078
3,4,0.0,parcels,all,078
3,5,0.0,parcels,all,078
3,6,0.0,parcels,all,078
3,7,0.0,parcels,all,078
3,8,0.0,parcels,all,078
3,9,0.0,parcels,all,078
3,10,0.0,parcels,all,078
3,11,0.0,parcels,all,078
4,1,0.33707865168539325,parcels,all,078
4,2,0.017241379310344827,parcels,all,078
4,3,0.0,parcels,all,078
4,4,0.0,parcels,all,078
4,5,0.0,parcels,all,078
4,6,0.0,parcels,all,078
4,7,0.0,parcels,all,078
4,8,0.0,parcels,all,078
4,9,0.0,parcels,all,078
4,10,0.0,parcels,all,078
4,11,0.0,parcels,all,078
5,1,0.0056179775280898875,parcels,all,078
5,2,0.0,parcels,all,078
5,3,0.0,parcels,all,078
5,4,0.0,parcels,all,078
5,5,0.0,parcels,all,078
5,6,0.0,parcels,all,078
5,7,0.0,parcels,all,078
5,8,0.0,parcels,all,078
5,9,0.0,parcels,all,078
5,10,0.0,parcels,all,078
5,11,0.0,parcels,all,078
6,1,0.0,parcels,all,078
6,2,0.0603448275862069,parcels,all,078
6,3,0.0,parcels,all,078
6,4,0.0,parcels,all,078
6,5,0.0,parcels,all,078
6,6,0.0,parcels,all,078
6,7,0.0,parcels,all,078
6,8,0.0,parcels,all,078
6,9,0.0,parcels,all,078
6,10,0.0,parcels,all,078
6,11,0.0,parcels,all,078
1,1,0.0,parcels,all,089
1,2,0.0,parcels,all,089
1,3,0.09944751381215469,parcels,all,089
1,4,0.304,parcels,all,089
1,5,0.0,parcels,all,089
1,6,0.0,parcels,all,089
1,7,0.0,parcels,all,089
1,8,0.0,parcels,all,089
1,9,0.0,parcels,all,089
1,10,0.0,parcels,all,089
1,11,0.0,parcels,all,089
2,1,0.0,parcels,all,089
2,2,0.0,parcels,all,089
2,3,0.0,parcels,all,089
2,4,0.0,parcels,all,089
2,5,0.0,parcels,all,089
2,6,0.0,parcels,all,089
2,7,0.0,parcels,all,089
2,8,0.0,parcels,all,089
2,9,0.0,parcels,all,089
2,10,0.0,parcels,all,089
2,11,0.0,parcels,all,089
3,1,0.0,parcels,all,089
3,2,0.0,parcels,all,089
3,3,0.5082872928176796,parcels,all,089
3,4,0.0,parcels,all,089
3,5,0.0,parcels,all,089
3,6,0.0,parcels,all,089
3,7,0.0,parcels,all,089
3,8,0.0,parcels,all,089
3,9,0.0,parcels,all,089
3,10,0.0,parcels,all,089
3,11,0.0,parcels,all,089
4,1,0.46629213483146065,parcels,all,089
4,2,0.017241379310344827,parcels,all,089
4,3,0.0,parcels,all,089
4,4,0.0,parcels,all,089
4,5,0.0,parcels,all,089
4,6,0.0,parcels,all,089
4,7,0.0,parcels,all,089
4,8,0.0,parcels,all,089
4,9,0.0,parcels,all,089
4,10,0.0,parcels,all,089
4,11,0.0,parcels,all,089
5,1,0.0,parcels,all,089
5,2,0.0,parcels,all,089
5,3,0.0,parcels,all,089
5,4,0.0,parcels,all,089
5,5,0.0,parcels,all,089
5,6,0.0,parcels,all,089
5,7,0.0,parcels,all,089
5,8,0.0,parcels,all,089
5,9,0.0,parcels,all,089
5,10,0.0,parcels,all,089
5,11,0.0,parcels,all,089
6,1,0.0,parcels,all,089
6,2,0.0,parcels,all,089
6,3,0.0,parcels,all,089
6,4,0.0,parcels,all,089
6,5,0.0,parcels,all,089
6,6,0.0,parcels,all,089
6,7,0.0,parcels,all,089
6,8,0.0,parcels,all,089
6,9,0.0,parcels,all,089
6,10,0.0,parcels,all,089
6,11,0.0,parcels,all,089
1,1,0.0,parcels,all,076
1,2,0.0,parcels,all,076
1,3,0.24861878453038674,parcels,all,076
1,4,0.68,parcels,all,076
1,5,0.0,parcels,all,076
1,6,0.0,parcels,all,076
1,7,0.0,parcels,all,076
1,8,0.0,parcels,all,076
1,9,0.0,parcels,all,076
1,10,0.0,parcels,all,076
1,11,0.0,parcels,all,076
2,1,0.0,parcels,all,076
2,2,0.0,parcels,all,076
2,3,0.0,parcels,all,076
2,4,0.0,parcels,all,076
2,5,0.0,parcels,all,076
2,6,0.0,parcels,all,076
2,7,0.0,parcels,all,076
2,8,0.0,parcels,all,076
2,9,0.0,parcels,all,076
2,10,0.0,parcels,all,076
2,11,0.0,parcels,all,076
3,1,0.0,parcels,all,076
3,2,0.0,parcels,all,076
3,3,0.3701657458563536,parcels,all,076
3,4,0.0,parcels,all,076
3,5,0.0,parcels,all,076
3,6,0.0,parcels,all,076
3,7,0.0,parcels,all,076
3,8,0.0,parcels,all,076
3,9,0.0,parcels,all,076
3,10,0.0,parcels,all,076
3,11,0.0,parcels,all,076
4,1,0.43258426966292135,parcels,all,076
4,2,0.0,parcels,all,076
4,3,0.0,parcels,all,076
4,4,0.0,parcels,all,076
4,5,0.0,parcels,all,076
4,6,0.0,parcels,all,076
4,7,0.0,parcels,all,076
4,8,0.0,parcels,all,076
4,9,0.0,parcels,all,076
4,10,0.0,parcels,all,076
4,11,0.0,parcels,all,076
5,1,0.0,parcels,all,076
5,2,0.0,parcels,all,076
5,3,0.0,parcels,all,076
5,4,0.0,parcels,all,076
5,5,0.0,parcels,all,076
5,6,0.0,parcels,all,076
5,7,0.0,parcels,all,076
5,8,0.0,parcels,all,076
5,9,0.0,parcels,all,076
5,10,0.0,parcels,all,076
5,11,0.0,parcels,all,076
6,1,0.0,parcels,all,076
6,2,0.0,parcels,all,076
6,3,0.0,parcels,all,076
6,4,0.0,parcels,all,076
6,5,0.0,parcels,all,076
6,6,0.0,parcels,all,076
6,7,0.0,parcels,all,076
6,8,0.0,parcels,all,076
6,9,0.0,parcels,all,076
6,10,0.0,parcels,all,076
6,11,0.0,parcels,all,076
